x,y,v
Trinary_Balanced_2,Continuous_Quaternary_Normal,0.0
Trinary_Balanced_2,Continuous_Binary_Skewed,0.0
Trinary_Balanced_2,Continuous_Trinary_Skewed,1.0987079325534241
Trinary_Balanced_2,Continuous_Quaternary_Skewed,0.0
Trinary_Balanced_2,Unary_1,0.0
Trinary_Balanced_2,Unary_2,0.07981479958746851
Trinary_Balanced_2,Correlated_1,0.0
Trinary_Balanced_2,Correlated_2,0.0
Trinary_Skewed_1a,Trinary_Skewed_1b,0.9897470292547147
Trinary_Skewed_1a,Trinary_Skewed_2,0.11675418609115243
Trinary_Skewed_1a,Trinary_Extreme_1a,0.327444919154476
Trinary_Skewed_1a,Trinary_Extreme_1b,0.327444919154476
Trinary_Skewed_1a,Trinary_Extreme_2,0.05113145515677798
Trinary_Skewed_1a,Quaternary_Balanced_1,0.09000233291942221
Trinary_Skewed_1a,Quaternary_Balanced_2,0.09000233291942221
Trinary_Skewed_1a,Quaternary_Skewed_1a,0.700709074422067
Trinary_Skewed_1a,Quaternary_Skewed_1b,0.700709074422067
Trinary_Skewed_1a,Quaternary_Skewed_2,0.15810645970778053
Trinary_Skewed_1a,Quaternary_Extreme_1a,0.332437437118829
Trinary_Skewed_1a,Quaternary_Extreme_1b,0.332437437118829
Trinary_Skewed_1a,Quaternary_Extreme_2,0.06519875975391436
Trinary_Skewed_1a,Continuous_Normal,0.02496295364328671
Trinary_Skewed_1a,Continuous_Skewed,0.065854175055853
Trinary_Skewed_1a,Continuous_Binary_Normal_1,0.0
Trinary_Skewed_1a,Continuous_Binary_Normal_2,0.05052292677677794
Trinary_Skewed_1a,Continuous_Trinary_Normal,0.023746463349249458
Trinary_Skewed_1a,Continuous_Quaternary_Normal,0.03946762257825975
Trinary_Skewed_1a,Continuous_Binary_Skewed,0.0027025486498264417
Trinary_Skewed_1a,Continuous_Trinary_Skewed,0.0
Trinary_Skewed_1a,Continuous_Quaternary_Skewed,0.07588511208643811
Trinary_Skewed_1a,Unary_1,0.0
Trinary_Skewed_1a,Unary_2,0.10278223553936772
Trinary_Skewed_1a,Correlated_1,0.6412039748201596
Trinary_Skewed_1a,Correlated_2,0.6433706414868262
Trinary_Skewed_1b,Trinary_Skewed_2,0.11675418609115243
Trinary_Skewed_1b,Trinary_Extreme_1a,0.327444919154476
Trinary_Skewed_1b,Trinary_Extreme_1b,0.327444919154476
